"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Название х-ки товара №1";"Значение х-ки товара №1";"Название х-ки товара №2";"Значение х-ки товара №2";"Название х-ки товара №3";"Значение х-ки товара №3";"Название х-ки товара №4";"Значение х-ки товара №4";"Название х-ки товара №5";"Значение х-ки товара №5";"Название х-ки товара №6";"Значение х-ки товара №6";"Название х-ки товара №7";"Значение х-ки товара №7";"Название х-ки товара №8";"Значение х-ки товара №8";"Название х-ки товара №9";"Значение х-ки товара №9";"Название х-ки товара №10";"Значение х-ки товара №10";"Название х-ки товара №11";"Значение х-ки товара №11";"Название х-ки товара №12";"Значение х-ки товара №12";"Название х-ки товара №13";"Значение х-ки товара №13";"Название х-ки товара №14";"Значение х-ки товара №14";"Название х-ки товара №15";"Значение х-ки товара №15";"Название х-ки товара №16";"Значение х-ки товара №16";"Название х-ки товара №17";"Значение х-ки товара №17";"Название х-ки товара №18";"Значение х-ки товара №18";"Название х-ки товара №19";"Значение х-ки товара №19";"Название х-ки товара №20";"Значение х-ки товара №20";"Название х-ки товара №21";"Значение х-ки товара №21";"Название х-ки товара №22";"Значение х-ки товара №22";"Название х-ки товара №23";"Значение х-ки товара №23";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1";"Название св-ва для модификации товара №2";"Значение св-ва для модификации товара №2"
"Умные детские часы Smart Baby Watch Q610 голубые";"Умные детские часы Smart Baby Watch Q610 - это безопасность Вашего ребенка. Позволяют отслеживать его местоположение через смартфон, планшет, ноутбук, компьютер и при необходимости связаться с ним в любой момент. В ярком удобном корпусе собрано множество функций: отслеживание текущего местоположения ребёнка с помощью GPS-трекера, кнопка SOS-сигнала для экстренных ситуаций, гео-зонирование, фонарик, часы, будильник, фотокамера, датчик заряда батареи, датчик снятия с руки. В отличие от телефона, часы сложно потерять или оставить где-нибудь, они всегда находятся на руке в быстрой доступности. Весь родительский контроль осуществляется через приложение SeTracker.";"Умные детские часы Smart Baby Watch Q610 позволяют отслеживать местоположение Вашего ребенка через смартфон, планшет, ноутбук, компьютер и при необходимости связаться с ним в любой момент.<br />
В ярком удобном корпусе собрано множество функций: отслеживание текущего местоположения ребёнка с помощью GPS-трекера, кнопка SOS-сигнала для экстренных ситуаций, гео-зонирование, фонарик, часы, будильник, фотокамера, датчик заряда батареи, датчик снятия с руки.<br />
<br />
В отличие от телефона, часы сложно потерять или оставить где-нибудь, они всегда находятся на руке в быстрой доступности. Весь родительский контроль осуществляется через приложение SeTracker. С его помощью в память часов можно внести номера телефонов, звонки с которых будут приниматься и на которые можно звонить с часов, задать гео-зоны наиболее вероятных местонахождений ребёнка (дом, школа, кружки и др.), отследить историю перемещений ребёнка за 30 дней.<br />
 <br />
<span style=""font-size:20px;"">Преимущества детских умных часов <span background-color:="""" style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, "" trebuchet="""">Smart Baby Watch Q610</span>:</span>
<ul>
	<li>Определение координат через мобильное приложение Se Tracker.</li>
	<li>Датчик снятия с руки.</li>
	<li>Функция тайного прослушивания окружения без ведома владельца часов. Через мобильное приложение отправляется сигнал для обратного звонка с часов на указанный номер.</li>
	<li>Возможность звонить с часов на 10 сохраненных номеров через громкую связь.</li>
	<li>Возможность отправки голосовых сообщений на привязанный номер телефона.</li>
	<li>Возможность с телефона отправлять голосовые и текстовые сообщения на часы, при этом все сообщения сохраняются в памяти телефона.</li>
	<li>Гео-зонирование. Вы можете настроить гео-зоны обычного пребывания Вашего ребёнка (""дом"", ""школа"", ""кружок"" и др.), после чего Вы будете получать сообщения о том, что ребенок пришел или покинул установленную Вами гео-зону.</li>
	<li>Кнопка SOS для экстренной связи с близкими на 1-5 номера.</li>
	<li>Секундомер и шагомер.</li>
	<li>Возможность отследить историю передвижений ребёнка за 30 дней</li>
	<li>Контроль уровня заряда. Вы получите уведомление на смартфон, если заряд часов будет приближаться к нулю.</li>
	<li>Возможность отправки текстовых сообщений с телефона на часы.</li>
</ul>
 <span style=""font-size:20px;"">Технические характеристики устройства:</span>

<ul>
	<li>Батарея: 3.7V, 650mA, этого хватает на 3-4 дня работы часов</li>
	<li>Размеры: 45.3*39.5*14.5mm;</li>
	<li>Вес: 90 гр (150 гр с коробкой)</li>
	<li>Емкость Аккумулятора 300-450 мАч</li>
	<li>Материал корпуса Пластик</li>
	<li>Диагональ экрана: 1.22 дюйма</li>
	<li>Материал ремешка: резина</li>
	<li>ROM, RAM: <128 МБ</li>
	<li>Камера: 2 MP</li>
	<li>Работа в сетях 2G GSM 850/900/1800/1900МГц</li>
	<li>SIM: Микро SIM</li>
	<li>GSM чип: MTK2503</li>
	<li>GPS чип: MTK3307</li>
	<li>GPRS чип: Class 12, TCP IP встроен в GSM Module</li>
	<li>GPS локация : GPS + A-GPS + LBS</li>
	<li>GPS чувствительность: -159dbm</li>
	<li>GPS погрешность: до 5-10 м</li>
</ul>
Цвет изделия уточняйте при оформлении заказа.";;00500150;"2 099,00";"2 790,00";"1 130,00";21,00000;шт;"http://i4.happy-sale.ru/1/8054/80533527/6e1ffd/umnye-detskie-chasy-smart-baby-watch-q610.jpg
http://i4.happy-sale.ru/1/8054/80533528/6e1ffd/umnye-detskie-chasy-smart-baby-watch-q610.jpg
http://i4.happy-sale.ru/1/8054/80533529/6e1ffd/umnye-detskie-chasy-smart-baby-watch-q610.jpg
http://i4.happy-sale.ru/1/8054/80533530/6e1ffd/umnye-detskie-chasy-smart-baby-watch-q610.jpg
http://i4.happy-sale.ru/1/8054/80533538/6e1ffd/umnye-detskie-chasy-smart-baby-watch-q610.jpg";;;;;;Umnye-detskie-chasy-Smart-Baby-Watch-Q610;;66116179;;"GPRS чип";"Class 12, TCP IP встроен в GSM Module";"GPS локация";"GPS + A-GPS + LBS";"GPS погрешность";"до 5-10 м";"GPS чип";MTK3307;"GPS чувствительность";-159dbm;"GSM чип";MTK2503;"ROM, RAM";"<128 МБ";SIМ-карта;micro-Sim;Аккумулятор;"300-450 мАч";Батарея;"3.7V, 650mA, этого хватает на 3-4 дня работы часов";Вес;"90 гр (150 гр с коробкой)";Камера;"2 MP";"Материал корпуса";пластик;"Материал ремешка";резина;Модель;"Smart Baby Watch Q610";"Стандарт GSM";"2G GSM 850/900/1800/1900МГц";Цвет;"Голубой, салатовый, розовый, оранжевый, красный, синий, черный";Экран;"1.22 дюйма";;;;;;;;;;;Модель;"Smart Baby Watch Q610";Цвет;Голубой
"Умные детские водонепроницаемые часы Smart Baby Watch DF25G (GW400S)";"Умные детские водонепроницаемые часы Smart Baby Watch DF25G (GW400S) помогут обеспечить безопасность Вашего ребёнка. Прочный водонепроницаемый корпус, созданный по стандарту IP67, обеспечит безопасность использования, а яркий дизайн понравится и мальчикам, и девочкам. Благодаря водонепроницаемому корпусу часы выдерживают до 30 минут прямого контакта с водой — теперь дождь, мытьё рук и даже купание им не страшны. Умные часы Smart Baby Watch DF25G (GW400S) удобно и надёжно сидят на руке, не соскальзывая и не доставляя ребёнку неудобств. Управление основными функциями (звонок, сообщение, шагомер) осуществляется через сенсорный экран. Детские часы Smart Baby Watch DF25G (GW400S) позволяют в любой момент получить исчерпывающую информацию о местонахождении и передвижениях Вашего ребёнка, обмениваться с ним голосовыми вызовами и текстовыми сообщениями, осуществлять аудиомониторинг места пребывания Вашего малыша (в радиусе до 5 метров) и в экстренной ситуации получать от него SOS-сигналы.";" Весь родительский контроль осуществляется через приложение SeTracker. С его помощью в память часов можно внести номера телефонов, звонки с которых будут приниматься и на которые можно звонить с часов, задать гео-зоны наиболее вероятных местонахождений ребёнка (дом, школа, кружки и др.), отследить историю перемещений за последние 30 дней.<br />
<br />
<span style=""font-size:20px;"">Основные преимущества часов Smart Baby Watch DF25G IP67 с GPS трекером:</span>
<ul>
	<li>Гео-зонирование. Вы можете настроить гео-зоны обычного пребывания Вашего ребёнка (""дом"", ""школа"", ""кружок"" и др.), после чего Вы будете получать сообщения о том, что ребенок пришел или покинул установленную Вами гео-зону.</li>
	<li>Отслеживание передвижений и местонахождения. Вы всегда будете знать, где Ваш ребенок, наблюдая за его передвижениями по карте. Улучшенное GPS позиционирование, точность на улице - до 10 метров!</li>
	<li>Возможность сохранения истории передвижений.. Когда ребенок находится в здании, трекер не может точно определить его местонахождение. Вы сможете посмотреть маршрут ребенка за 30 дней. По маршруту можно определить, что ребенок вошел в помещение и из него не вышел - значит он еще там!</li>
</ul>

<ul>
	<li> Мобильная связь. Часы всегда на руке, следовательно, всегда можно дозвониться и нет необходимости убирать часы в портфель. При этом часы труднее потерять, в сравнении с обычным телефоном. В телефонной книге можно сохранить до 15 контактов. Пользоваться часами очень просто - нажатием одной кнопки можно позвонить маме или папе. Теперь ребенку не надо запоминать Ваш номер или долго его искать.</li>
	<li> Тревожная кнопка. Для экстренных случаев связи с родителями есть кнопка SOS. Часы-телефон будут дозваниваться по трем SOS номерам из телефонной книжки, пока звонок не будет принят.</li>
	<li>Дистанционно настраиваемый будильник. У Вас все под контролем - теперь Ваш ребенок не проспит школу или другое важное событие.</li>
	<li>Яркий дизайн. Современные дети стремятся быть модными, и конечно же наравне со своими сверстниками. Стильный и современный гаджет, как нельзя лучше способствует этому. Большой цветной сенсорный экран и яркое оформление часов сделает его самым модным среди друзей</li>
	<li>Контроль уровня заряда. Вы получите уведомление на смартфон, если заряд часов будет приближаться к нулю.</li>
	<li>Тайная прослушка окружения. В ситуациях, когда Вам необходимо знать, что происходит с ребенком, а также можно ему звонить или нет, можно включить прослушивание. Прослушку можно отключить только с телефона родителей.</li>
	<li>Голосовая почта и текстовые сообщения. Оставайтесь на связи с ребёнком, что бы ни случилось.</li>
	<li>Совместимость с iOS и Android. Всё управление и настройка гаджета осуществляется со смартфона родителей через приложение SeTracker. SeTracker снабжён удобным русскоязычным интерфейсом и совместим с iOS и Android. Приложение абсолютно бесплатно и доступно для скачивания в магазинах App Store и Google Play.</li>
</ul>
<span style=""font-size:20px;""> Основные характеристики:</span>

<ul>
	<li>GPS: MT3337, 20 каналов, -159DB</li>
	<li>GPS погрешность: 5-15 м</li>
	<li>Стандарт GSM: MT6261</li>
	<li>GSM антенна: FPC антенна</li>
	<li>LBS погрешность: 100-1000 м</li>
	<li>SIM карта: Micro-SIM</li>
	<li>Антенна GPS: высокочувствительная активная керамическая антенна</li>
	<li>Батарея: 420 мАч</li>
	<li>Влагозащита: Полная влагозащита, возможно кратковременное погружение под воду.</li>
	<li>Точность определения координат:</li>
</ul>

<ol>
	<li>канал GPS - 10-20 метров ( Только на улице ловит сигнал GPS) 2) канал LBS (вышки сотовой связи) - 100-1000 метров 3) канал WI-FI - 50-300 метров<br />
	Частота GSM: 850/900/1800/1900 МГц</li>
</ol>

<ul>
	<li>Экран: 1.22"" Дюймовый Цветной Сенсорный Экран, IPS 240х240</li>
</ul>";;00500158;"3 060,00";"3 260,00";"2 150,00";11,00000;шт;http://i4.happy-sale.ru/1/8122/81213337/6e1ffd/umnye-detskie-vodonepronicaemye-chasy-smart-baby-watch-df25g-gw400s.jpg;;;;;;Umnye-detskie-vodonepronicaemye-chasy-Smart-Baby-Watch-DF25G-GW400S;;66116059;;GPS;"MT3337, 20 каналов, -159DB";"GPS погрешность";"5-15 м";"GSM антенна";"FPC антенна";"LBS погрешность";"100-1000 м";SIМ-карта;micro-Sim;Аккумулятор;"420 мАч";"Антенна GPS";"высокочувствительная активная керамическая антенна";Влагозащита;"Полная влагозащита, возможно кратковременное погружение под воду.";"Стандарт GSM";MT6261;"Точность GPS";"1) канал GPS - 10-20 метров ( Только на улице ловит сигнал GPS) 2) канал LBS (вышки сотовой связи) - 100-1000 метров 3) канал WI-FI - 50-300 метров";Цвет;голубой;"Частота GSM";"850/900/1800/1900 МГц";Экран;"1.22"" Дюймовый Цветной Сенсорный Экран, IPS 240х240";;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Светящаяся светодиодная ёлочка с шишками Marry Christmas 27 см.";"Светящаяся светодиодная ёлочка с шишками Marry Christmas создаст праздничное настроение за Новогодним столом. Светодиодная елочка порадует гостей, может стать украшением любого стола и мероприятия, а также хорошим подарком для друзей и близких. Высота елочки 27 см.";"Классный светильник для создания праздничного настроения - это елочка светящаяся. Она очень красиво светится разными цветами.<br />
<br />
Елочку светящуюся можно использовать для украшения праздничного мероприятия встречи Нового года. Гости будут в восторге. Так же будет отличным подарком для родных и близких.<br />
<br />
Высота ёлочки 27 см.<br />
 ";;00102781;990,00;0,00;235,00;22,00000;шт;"http://i4.happy-sale.ru/1/8052/80510574/6e1ffd/svetyashhayasya-svetodiodnaya-jolochka-s-shishkami-marry-christmas-27-sm.jpg
http://i4.happy-sale.ru/1/8052/80510575/6e1ffd/svetyashhayasya-svetodiodnaya-jolochka-s-shishkami-marry-christmas-27-sm.jpg";;;;;;Svetyashhayasya-svetodiodnaya-jolochka-s-shishkami-Marry-Christmas-27-sm;;66084710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Портативный воздушный компрессор Air Dragon";"Портативный воздушный компрессор Air Dragon  позволяет безопасно накачать  шины мотоцикла или автомобиля, спортивный мяч, надувной матрац  или игрушку до нужного уровня давления и автоматически остановится. Включается в 12-вольтовую розетку автомобиля. Длина кабеля 4 метра.";"Безопасно накачивайте шины и игрушки до их идеального давления с помощью данного компрессора, который автоматически останавливается,  когда достигает заданного уровня. Включается в 12-вольтовую розетку Вашего автомобиля, чтобы накачать шины автомобиля, мотоцикла, надувного матраса, спортивные мячи и многое другое.
<ul>
	<li>Длина кабеля: 4 м.</li>
	<li>Размер упаковки: 26х18х9 см.</li>
	<li>Воздушный компрессор, Автомобильный силовой кабель, Напорный шланг, Игла<br />
	 </li>
</ul>";;00102797;"2 080,00";0,00;"1 270,00";20,00000;шт;"http://i4.happy-sale.ru/1/8051/80509623/6e1ffd/portativnyj-vozdushnyj-kompressor-air-dragon.jpg
http://i4.happy-sale.ru/1/8051/80509624/6e1ffd/portativnyj-vozdushnyj-kompressor-air-dragon.jpg
http://i4.happy-sale.ru/1/8051/80509625/6e1ffd/portativnyj-vozdushnyj-kompressor-air-dragon.jpg
http://i4.happy-sale.ru/1/8051/80509626/6e1ffd/portativnyj-vozdushnyj-kompressor-air-dragon.jpg
http://i4.happy-sale.ru/1/8051/80509627/6e1ffd/portativnyj-vozdushnyj-kompressor-air-dragon.jpg";;;;;;Portativnyj-vozdushnyj-kompressor-Air-Dragon;;66082055;;"Длина кабеля";"4 м";Комплектация;"Воздушный компрессор, Автомобильный силовой кабель, Напорный шланг, Игла";Модель;"Air Dragon";"Размер упаковки";"26х18х9 см.";Упаковка;"картонная коробка";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Кукла-кексик Sweets";"Кукла-кексик Sweets - яркий и красочный кекс Cupcake Surprise с легкостью превращается в прекрасную принцессу в нарядном платье, а крышечка капкейка - в изящную шляпку! Кекс сделан из мягкого силикона, который очень легко выгибается и превращается в очаровательное платье. Высота куклы 13 см.";"Кукла-кекс Cupcake Surprise - уникальная игрушка для девочек, которая принесет радость каждой девочке. Она выполнена в виде аппетитного кекса, одним движением превращающегося в красивую принцессу с длинными волосами!<br />
<br />
Основание кекса из высококачественного мягкого силикона позволит эффектно и быстро произвести волшебную трансформацию, а крышечка капкейка послужит кукле изящной шляпкой! Нельзя не отметить, что каждая куколка имеет свой индивидуальный стиль, представленный разнообразием расцветок платьев и оригинальными элементами отделки.
<ul>
	<li>Материал: пластик, силикон, текстиль.</li>
	<li>Высота куклы: 15 см.</li>
	<li>Диаметр кекса: 9 см.</li>
</ul>
Данный товар комплектуется без возможности выбора цвета, случайным образом.<br />
 ";;00100464;699,00;0,00;290,00;30,00000;шт;"http://i4.happy-sale.ru/1/8051/80507283/6e1ffd/kukla-keksik-sweets.png
http://i4.happy-sale.ru/1/8051/80507086/6e1ffd/kukla-keksik-sweets.jpg
http://i4.happy-sale.ru/1/8051/80507085/6e1ffd/kukla-keksik-sweets.jpg
http://i4.happy-sale.ru/1/8051/80507087/6e1ffd/kukla-keksik-sweets.jpg
http://i4.happy-sale.ru/1/8051/80507088/6e1ffd/kukla-keksik-sweets.jpg";;;;;;Kukla-keksik-Sweets;;66081854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Корректор осанки Posture Corrector";"Корректор осанки Posture Corrector – это специальная конструкция из ремней и мощной липучки, которая заставит спину держать ровно и прямо, что приведет со временем к выработке красивой осанки. Растягивающийеся ремни в форме петель на конце одеваются на плечи, свободные концы нужно обернуть вокруг тела и скрепить липучкой друг с другом. Корректор для ровной спины Posture Corrector отлично подойдет подросткам для профилактики сколиоза, а также взрослым мужчинам и женщинам для снятия напряжения и нагрузки со спины и коррекции осанки.";"Конструкция корректора Posture Corrector помогает держать спину ровной и прямой, что способствует выработке красивой осанки. Posture Corrector состоит из двух растягивающихся ремней в форме петель.  Эти петли одеваются на плечо, а свободные концы оборачиваются вокруг тела и скрепляются друг с другом мощной липучкой. <br />
<br />
Posture Corrector идеально подойдёт для профилактики сколиоза у подростков, коррекции осанки у мужчин и женщин. ";;00101996;990,00;0,00;195,00;11,00000;шт;"http://i4.happy-sale.ru/1/8051/80506609/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506610/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506611/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506612/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506613/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506614/6e1ffd/korrektor-osanki-posture-corrector.jpg";;;;;;Korrektor-osanki-Posture-Corrector;;66081521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модель;"Posture Corrector";Размер;M
"Корректор осанки Posture Corrector";"Корректор осанки Posture Corrector – это специальная конструкция из ремней и мощной липучки, которая заставит спину держать ровно и прямо, что приведет со временем к выработке красивой осанки. Растягивающийеся ремни в форме петель на конце одеваются на плечи, свободные концы нужно обернуть вокруг тела и скрепить липучкой друг с другом. Корректор для ровной спины Posture Corrector отлично подойдет подросткам для профилактики сколиоза, а также взрослым мужчинам и женщинам для снятия напряжения и нагрузки со спины и коррекции осанки.";"Конструкция корректора Posture Corrector помогает держать спину ровной и прямой, что способствует выработке красивой осанки. Posture Corrector состоит из двух растягивающихся ремней в форме петель.  Эти петли одеваются на плечо, а свободные концы оборачиваются вокруг тела и скрепляются друг с другом мощной липучкой. <br />
<br />
Posture Corrector идеально подойдёт для профилактики сколиоза у подростков, коррекции осанки у мужчин и женщин. ";;00101997;990,00;0,00;195,00;31,00000;шт;"http://i4.happy-sale.ru/1/8051/80506609/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506610/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506611/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506612/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506613/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506614/6e1ffd/korrektor-osanki-posture-corrector.jpg";;;;;;Korrektor-osanki-Posture-Corrector;;66081521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модель;"Posture Corrector";Размер;L
"Корректор осанки Posture Corrector";"Корректор осанки Posture Corrector – это специальная конструкция из ремней и мощной липучки, которая заставит спину держать ровно и прямо, что приведет со временем к выработке красивой осанки. Растягивающийеся ремни в форме петель на конце одеваются на плечи, свободные концы нужно обернуть вокруг тела и скрепить липучкой друг с другом. Корректор для ровной спины Posture Corrector отлично подойдет подросткам для профилактики сколиоза, а также взрослым мужчинам и женщинам для снятия напряжения и нагрузки со спины и коррекции осанки.";"Конструкция корректора Posture Corrector помогает держать спину ровной и прямой, что способствует выработке красивой осанки. Posture Corrector состоит из двух растягивающихся ремней в форме петель.  Эти петли одеваются на плечо, а свободные концы оборачиваются вокруг тела и скрепляются друг с другом мощной липучкой. <br />
<br />
Posture Corrector идеально подойдёт для профилактики сколиоза у подростков, коррекции осанки у мужчин и женщин. ";;00101998;990,00;0,00;195,00;32,00000;шт;"http://i4.happy-sale.ru/1/8051/80506609/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506610/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506611/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506612/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506613/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506614/6e1ffd/korrektor-osanki-posture-corrector.jpg";;;;;;Korrektor-osanki-Posture-Corrector;;66081521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модель;"Posture Corrector";Размер;XL
"Корректор осанки Posture Corrector";"Корректор осанки Posture Corrector – это специальная конструкция из ремней и мощной липучки, которая заставит спину держать ровно и прямо, что приведет со временем к выработке красивой осанки. Растягивающийеся ремни в форме петель на конце одеваются на плечи, свободные концы нужно обернуть вокруг тела и скрепить липучкой друг с другом. Корректор для ровной спины Posture Corrector отлично подойдет подросткам для профилактики сколиоза, а также взрослым мужчинам и женщинам для снятия напряжения и нагрузки со спины и коррекции осанки.";"Конструкция корректора Posture Corrector помогает держать спину ровной и прямой, что способствует выработке красивой осанки. Posture Corrector состоит из двух растягивающихся ремней в форме петель.  Эти петли одеваются на плечо, а свободные концы оборачиваются вокруг тела и скрепляются друг с другом мощной липучкой. <br />
<br />
Posture Corrector идеально подойдёт для профилактики сколиоза у подростков, коррекции осанки у мужчин и женщин. ";;00101999;990,00;0,00;195,00;21,00000;шт;"http://i4.happy-sale.ru/1/8051/80506609/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506610/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506611/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506612/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506613/6e1ffd/korrektor-osanki-posture-corrector.jpg
http://i4.happy-sale.ru/1/8051/80506614/6e1ffd/korrektor-osanki-posture-corrector.jpg";;;;;;Korrektor-osanki-Posture-Corrector;;66081521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модель;"Posture Corrector";Размер;XXL
"Гелевая губка Super Clean";"Гелевая губка Super Clean – это современное чистящее средство, которое уберет пыль и грязь из труднодоступных  мест клавиатуры вашего компьютера,  телефона,  пультов, плейера, панель управления вашего авто и прочих устройств и поверхностей. Губка Super Clean представляет из себя липкий гель, который можно вдавить в любое место, и грязь останется на нем. Уберет 80% бактерий с поверхностей очищаемых устройств и не оставит следов. Чистящее средство Super Clean гигиенично и предназначено для многократного использования.";"<span style=""font-size:18px;""><span style=""color: rgb(21, 21, 21); font-family: proximanova; background-color: rgb(255, 255, 255);"">Чистящее средство Super Clean. Используется для чистки труднодоступных мест (клавиатуры, телефоны,  пульты и т.д.). Представляет из себя липкий гель, который можно вдавить в любое место, и грязь останется на нем. Не оставляет следов. Super Clean гель для чистки клавиатуры и труднодоступных поверхностей. Устраняет грязь и убивает более 80% бактерий! </span></span>";;00101965A;300,00;0,00;105,00;31,00000;шт;"http://i4.happy-sale.ru/1/8033/80322120/6e1ffd/gelevaya-gubka-super-clean-jpg.jpg
http://i4.happy-sale.ru/1/8033/80322121/6e1ffd/gelevaya-gubka-super-clean-2-jpg.jpg
http://i4.happy-sale.ru/1/8033/80322122/6e1ffd/gelevaya-gubka-super-clean-3-jpg.jpg
http://i4.happy-sale.ru/1/8033/80322123/6e1ffd/gelevaya-gubka-super-clean-4-jpg.jpg";;;;;;Gelevaya-gubka-Super-Clean;;65928055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
